41.6	C	M1	15	7	8748
58.3	C	M2	21	31	8912
71.7	C	M3	29	26	8592
139.1	C	M4	37	9	7197
177.9	C	M5	29	13	8472
204.5	C	M6	21	24	8196
382.3	C	M7	27	32	7812
396.7	C	M8	0	32	7264
492.4	C	M9	2	38	6008
496.2	C	M10	39	17	6227
515.8	C	M11	19	3	5836
521.1	C	M12	27	23	8825
536.7	C	M13	17	24	5899
578.9	C	M14	27	25	6988
608.7	C	M15	24	30	7519
655.7	C	M16	29	34	6066
677.2	C	M17	16	17	7321
696.7	C	M18	5	37	5666
712.1	C	M19	39	27	6230
718.5	C	M20	25	20	5496
783.4	C	M21	31	39	6994
838.7	C	M22	6	15	8957
854.6	C	M23	32	30	8843
859.2	C	M24	3	39	6899
897.2	C	M25	20	36	9271
898.1	C	M26	3	18	5081
903.3	C	M27	13	18	8362
906.1	C	M28	10	3	9306
944.5	C	M29	6	39	9654
964.8	C	M30	14	38	6419
1041.1	C	M31	22	7	9989
1071.1	C	M32	31	17	7686
1164.7	C	M33	14	15	5687
1170.5	C	M34	22	29	5623
1179.7	C	M35	5	4	5532
1227.0	C	M36	30	1	6587
1236.6	C	M37	23	9	7256
1253.0	C	M38	14	27	7506
1288.5	C	M39	28	1	7832
1298.5	C	M40	32	39	7889
1351.3	C	M41	38	39	6784
1360.6	C	M42	27	3	9845
1409.5	C	M43	12	27	6030
1411.4	C	M44	39	25	5779
1427.7	C	M45	29	25	9473
1450.3	C	M46	0	17	8833
1466.8	C	M47	12	21	7687
1531.2	C	M48	28	26	8966
1567.0	C	M49	2	21	9047
1569.5	C	M50	4	39	5049
1586.6	C	M51	4	29	9407
1656.2	C	M52	16	15	5056
1806.3	C	M53	35	17	6257
1831.0	C	M54	19	37	8447
1857.0	C	M55	4	36	6769
1903.1	C	M56	14	11	9377
1935.6	C	M57	5	1	7588
1961.2	C	M58	15	30	6762
2098.2	C	M59	10	12	8395
2173.5	C	M60	29	24	8067
2217.5	C	M61	26	3	8755
2389.6	C	M62	5	2	9661
2390.4	C	M63	9	15	8266
2404.4	C	M64	24	26	9550
2422.5	C	M65	6	28	5388
2574.0	C	M66	9	22	6180
2630.5	C	M67	19	3	7017
